Time,Period,Sales
1,1991 Jul,365325.75
2,1991 Aug,340770.1
3,1991 Sep,367335.15
4,1991 Oct,418661.55
5,1991 Nov,427013.65
6,1991 Dec,512254.2
7,1992 Jan,561101.15
8,1992 Feb,285787
9,1992 Mar,298645.8
10,1992 Apr,322836.8
11,1992 May,307530.85
12,1992 Jun,348953.9
13,1992 Jul,410880.3695
14,1992 Aug,404143.907
15,1992 Sep,454546.884
16,1992 Oct,483315.2105
17,1992 Nov,505939.7965
18,1992 Dec,655569.113
19,1993 Jan,638777.38
20,1993 Feb,329421.189
21,1993 Mar,363190.737
22,1993 Apr,351806.653
23,1993 May,364529.997
24,1993 Jun,470126.42
25,1993 Jul,509209.69
26,1993 Aug,558443
27,1993 Sep,601514.06
28,1993 Oct,632947.1
29,1993 Nov,699605.39
30,1993 Dec,963080.51
31,1994 Jan,819325.34
32,1994 Feb,437669.8
33,1994 Mar,506121.27
34,1994 Apr,470491.17
35,1994 May,510696.26
36,1994 Jun,540513.79
37,1994 Jul,558118.92
38,1994 Aug,672852.06
39,1994 Sep,685897.38
40,1994 Oct,689691.98
41,1994 Nov,741303.58
42,1994 Dec,813307.63
43,1995 Jan,803112.57
44,1995 Feb,475258.24
45,1995 Mar,552572.3
46,1995 Apr,527107.82
47,1995 May,561249.82
48,1995 Jun,588977.64
49,1995 Jul,623133.62
50,1995 Aug,740837.23
51,1995 Sep,725371.76
52,1995 Oct,815803.02
53,1995 Nov,814009.47
54,1995 Dec,926653.05
55,1996 Jan,937275.94
56,1996 Feb,528761.65
57,1996 Mar,559339.94
58,1996 Apr,577871.66
59,1996 May,614927.41
60,1996 Jun,594188.77
61,1996 Jul,707758.44
62,1996 Aug,719501.95
63,1996 Sep,744323.69
64,1996 Oct,804855.11
65,1996 Nov,788542.35
66,1996 Dec,971089.4
67,1997 Jan,846833.54
68,1997 Feb,463822.52
69,1997 Mar,485273.17
70,1997 Apr,528058.6
71,1997 May,562336.47
72,1997 Jun,588570.4
73,1997 Jul,669480.36
74,1997 Aug,677993.65
75,1997 Sep,762995.49
76,1997 Oct,799723.74
77,1997 Nov,770521.92
78,1997 Dec,994389.34
79,1998 Jan,800544.43
80,1998 Feb,490557.21
81,1998 Mar,524407.99
82,1998 Apr,536649.48
83,1998 May,552090.54
84,1998 Jun,603365.64
85,1998 Jul,681245.38
86,1998 Aug,678075.35
87,1998 Sep,794892.65
88,1998 Oct,784623.9
89,1998 Nov,813008.7
90,1998 Dec,977732.3
91,1999 Jan,893081.48
92,1999 Feb,512695.97
93,1999 Mar,652995.89
94,1999 Apr,573976.4
95,1999 May,639238.42
96,1999 Jun,703871.88
97,1999 Jul,770648.24
98,1999 Aug,846185.88
99,1999 Sep,892728.89
100,1999 Oct,897899.88
101,1999 Nov,947280.69
102,1999 Dec,1050707.27
103,2000 Jan,969655.67
104,2000 Feb,573291.51
105,2000 Mar,618506.84
106,2000 Apr,618995.73
107,2000 May,665209.22
108,2000 Jun,726520.15
109,2000 Jul,855864.94
110,2000 Aug,865984.29
111,2000 Sep,825248.83
112,2000 Oct,955421.02
113,2000 Nov,938595.96
114,2000 Dec,1013024.42
115,2001 Jan,1043805.35
116,2001 Feb,510647.25
117,2001 Mar,672569.01
118,2001 Apr,648470.06
119,2001 May,704114.69
120,2001 Jun,699430.75
121,2001 Jul,851925.87
122,2001 Aug,907705.2
123,2001 Sep,867444.47
124,2001 Oct,1024292.81
125,2001 Nov,1109590.22
126,2001 Dec,1012313.23
127,2002 Jan,1145867.61
128,2002 Feb,575584.38
129,2002 Mar,641164.59
130,2002 Apr,679862.07
131,2002 May,767938.4
132,2002 Jun,752095.91
133,2002 Jul,918063.59
134,2002 Aug,924367.53
135,2002 Sep,1013197.67
136,2002 Oct,1026976.09
137,2002 Nov,1006795.97
138,2002 Dec,1102775.68
139,2003 Jan,1078144.87
140,2003 Feb,578296.19
141,2003 Mar,643333.32
142,2003 Apr,663367.35
143,2003 May,750516
144,2003 Jun,800745.64
145,2003 Jul,916361.03
146,2003 Aug,916886.82
147,2003 Sep,1084658.93
148,2003 Oct,1150648.22
149,2003 Nov,1050838.21
150,2003 Dec,1223234.54
151,2004 Jan,1130125.21
152,2004 Feb,667988.67
153,2004 Mar,749014.28
154,2004 Apr,739986.02
155,2004 May,795128.63
156,2004 Jun,856802.82
157,2004 Jul,1001593.17
158,2004 Aug,994864.33
159,2004 Sep,1134432
160,2004 Oct,1181011
161,2004 Nov,1216037
162,2004 Dec,1257238
163,2005 Jan,1170690
164,2005 Feb,597639
165,2005 Mar,652590
166,2005 Apr,670505
167,2005 May,695248
168,2005 Jun,842263
169,2005 Jul,874336
170,2005 Aug,1006497
171,2005 Sep,1094736
172,2005 Oct,1027043
173,2005 Nov,1149232
174,2005 Dec,1160712
175,2006 Jan,1230691
176,2006 Feb,587135
177,2006 Mar,706959
178,2006 Apr,639641
179,2006 May,807405
180,2006 Jun,797970
181,2006 Jul,884312
182,2006 Aug,1049648
183,2006 Sep,995709
184,2006 Oct,1168253
185,2006 Nov,1108038
186,2006 Dec,1120053
187,2007 Jan,1467982.8
188,2007 Feb,717303.6
189,2007 Mar,845277.6
190,2007 Apr,674112
191,2007 May,894309.6
192,2007 Jun,1005520.8
193,2007 Jul,1144972.8
194,2007 Aug,1293863.388
195,2007 Sep,1333177.932
196,2007 Oct,1331974.968
197,2007 Nov,1396241.16
198,2007 Dec,1411906.8
199,2008 Jan,1463929.2
200,2008 Feb,914186.4
201,2008 Mar,779322
202,2008 Apr,993464.4
203,2008 May,979506
204,2008 Jun,914564.4
